2007064;1;AC
2007074;1;AC
2007061;1;AC
2007090;1;AC
2007078;1;AC
2007083;1;AC
2007082;1;AC
2007063;1;AC
2007069;1;AC
2007085;1;AC
2007081;1;AC
2007062;1;AC
2007070;1;AC
2007088;1;AC
2007072;1;AC
2007075;1;AC
2007087;1;AC
2007081;2;AC
2007068;1;AC
2007061;2;AC
2007065;1;AC
2007081;3;AC
2007068;2;AC
2007077;1;AC
2007061;3;AC
2007078;2;AC
2007068;3;AC
2007078;3;AC
2007080;4;AC
2007082;2;AC
2007087;2;AC
2007080;5;AC
2007067;1;AC
2007080;6;AC
2007086;1;AC
2007073;7;AC
2007084;1;AC
2007067;2;AC
2007080;7;AC
2007082;3;AC
2007073;8;NAC
2007063;3;AC
2007087;3;AC
2007075;3;AC
2007080;8;NAC
2006062;1;AC
2007061;4;AC
2007068;4;AC
2007071;1;AC
2007070;3;AC
2007078;4;AC
2007076;1;AC
2007067;3;AC
2007078;5;AC
2007081;5;AC
2007085;3;AC
2007069;2;AC
2007068;5;AC
2007082;4;AC
2007086;2;AC
2007081;6;AC
2007073;6;AC
2007068;6;AC
2007063;5;AC
2007066;1;AC
2007080;1;AC
2007068;7;AC
2007066;2;AC
2007081;7;AC
2007068;8;AC
2007081;8;AC
2007082;5;AC
2007063;6;AC
2007080;2;AC
2007066;3;AC
2007071;2;AC
2007063;7;AC
2007067;4;AC
2006062;3;AC
2007080;3;AC
2007079;1;AC
2007074;3;AC
2008090;1;AC
2007070;5;AC
2007063;8;AC
2007082;6;AC
2007084;3;AC
2007071;3;AC
2007070;6;AC
2007067;5;AC
2007082;7;AC
2007072;2;AC
2007086;3;AC
2007065;2;AC
2007084;2;AC
2007078;6;AC
2007070;8;AC
2008076;1;AC
2007071;4;AC
2007070;7;AC
2007067;6;AC
2007082;8;AC
2007081;4;AC
2007072;3;AC
2007071;5;AC
2007083;3;AC
2007084;5;AC
2007067;7;AC
2007077;2;AC
2007079;2;AC
2007084;6;AC
2007084;7;AC
2007085;4;AC
2007066;4;AC
2008090;3;AC
2007077;3;AC
2007084;8;AC
2007067;8;AC
2007063;2;AC
2007061;5;AC
2007083;4;AC
2007087;4;AC
2007070;2;AC
2007079;3;AC
2007075;2;AC
2006062;4;AC
2008090;4;AC
2007061;6;AC
2007078;7;AC
2007086;4;AC
2007066;5;AC
2007061;7;AC
2007074;4;AC
2007078;8;NAC
2007061;8;NAC
2008090;5;AC
2007083;5;AC
2007079;4;AC
2006062;5;AC
2008076;3;AC
2007085;5;AC
2007074;5;AC
2007086;5;AC
2007079;5;AC
2006062;6;AC
2007069;3;AC
2007075;7;AC
2007074;6;AC
2007072;7;AC
2008090;6;AC
2006062;7;AC
2007075;8;AC
2007072;8;NAC
2007086;6;AC
2007087;5;AC
2007074;7;AC
2007066;6;AC
2007083;6;AC
2007086;7;AC
2007085;6;AC
2007084;4;AC
2006062;8;AC
2007072;5;AC
2007074;8;NAC
2007083;7;AC
2007086;8;AC
2007066;7;AC
2007063;4;AC
2008090;7;AC
2007107;4;AC
2007079;6;AC
2007085;7;AC
2007072;6;AC
2007079;7;AC
2007071;7;AC
2007066;8;AC
2007079;8;AC
2007071;8;AC
2007085;8;NAC
2007077;4;AC
23223232;4;AC
2007075;6;AC
2006062;2;AC
2008090;8;AC
2007072;4;AC
2007074;2;AC
2007087;6;AC
2007064;2;AC
2007087;7;AC
2007070;4;AC
2007075;4;AC
2007077;5;AC
2007087;8;AC
2007002;1;AC
2007064;3;AC
2007077;6;AC
2007088;2;AC
2008076;5;AC
2007002;2;AC
2007075;5;AC
2007002;3;AC
2007064;4;AC
2007083;8;NAC
2007077;7;AC
2007085;2;AC
2007062;2;AC
2007002;4;AC
2008076;6;AC
2007077;8;AC
2007064;5;AC
2008076;7;AC
2007002;5;AC
2007065;7;AC
2007064;6;AC
2007062;3;AC
2007065;8;AC
2007064;7;AC
2007064;8;NAC
2007002;6;AC
2008076;8;AC
2007002;7;AC
2007002;8;AC
2007089;1;AC
2007062;4;AC
2007062;5;AC
2007089;2;AC
2007062;6;AC
2007062;7;AC
2008090;2;AC
2007089;3;AC
2008076;2;AC
2007062;8;NAC
2007089;4;AC
2007088;3;AC
2007089;5;AC
2007089;6;AC
2007089;7;AC
2007095;8;AC
2007069;5;AC
2007089;8;AC
2007123;8;AC
2007124;8;AC
2007083;2;AC
2007088;4;AC
2007069;6;AC
2007073;2;AC
2007088;5;AC
2007069;7;AC
2007069;8;AC
2007088;6;AC
2007126;8;AC
2007088;7;AC
2007069;4;AC
2007088;8;AC
2007073;1;AC
1507034;1;AC
1507034;2;AC
1507034;3;AC
1507034;4;AC
1507034;5;AC
1507034;6;AC
1507034;7;AC
1507034;8;AC
